doc_key,relative_path,suffix,char_count,first_200_chars
公司产品知识库.md,公司产品知识库.md,.md,2510,"# 公司产品知识库（权威信息源） > 版本：v1.0 | 维护人：产品市场（PMK）| 更新节奏：产品版本发布后 3 个工作日内 > **本文件是产品相关问答的唯一权威依据。销售话术、报价、竞品对比与本文冲突时，以本文为准。** > 使用说明：本文件以""标准条目结构 + 已填充示例""的方式维护。新增产品线时复制示例条目结构逐项填写， > 不确定的信息标注 `[待确认]`，禁止留空或编造。 --- "
客户反馈汇总.md,客户反馈汇总.md,.md,1501,# 客户反馈汇总 > 适用范围：产品改进、销售策略调整、客户成功。本库记录**客户使用产品的真实反馈**，与客户成功案例形成互补（案例讲价值，反馈讲待改进）。 > 想批量补充新反馈 → 见《DeepSeek扩写提示词集.md》「客户反馈汇总」提示词。 --- ## 反馈清单 | 编号 | 客户 | 产品线 | 类型 | 状态 | 一句话 | |---|---|---|---|---|---| | 
客户成功案例.md,客户成功案例.md,.md,1596,# 客户成功案例 > 适用范围：市场部线索培育、销售拜访素材、产品演示。本库记录**客户使用我方产品的真实价值**，与产品知识库形成证据链。 > 想批量补充新案例 → 见《DeepSeek扩写提示词集.md》「客户成功案例」提示词。 --- ## 案例清单 | 案例编号 | 客户 | 区域 | 产品线/版本 | 关键价值（量化） | 客户证言 | |---|---|---|---|---|---|
客户画像与ICP判定标准.md,客户画像与ICP判定标准.md,.md,2043,"# 客户画像与 ICP 判定标准 > 适用范围：市场部线索分发、销售线索评估与推进决策。本标准与《销售方法论与商机资质判定手册》（MEDDIC）配套使用： > **ICP 决定""这个线索值不值得跟""（资格准入），MEDDIC 决定""这个商机能不能赢单""（推进质量）**。 > 台账""阶段流转规则""sheet 中""ICP画像匹配""的判定依据即为本文件。 ## 一、总体 ICP（公司级画像） | 维度 "
市场活动效果.md,市场活动效果.md,.md,959,# 市场活动效果（说明） > 本资产为 Excel 文件：`raw_data/sales_intel/市场活动效果.xlsx`（由 `sales_sql_query` 读绝对路径）。 > 本 md 仅作导航与口径说明，明细数据在 Excel 内（满足 `sales_sql_query` 单 sheet ≤50 行契约）。 > 想补充新活动行 → 见《DeepSeek扩写提示
异议处理与竞争话术库.md,异议处理与竞争话术库.md,.md,2483,"# 异议处理与竞争话术库 > 适用范围：销售在电话/拜访/方案汇报场景的客户异议应对。每条话术与产品知识库、竞品追踪台账、输赢单分析表的数据锚点挂钩。 > **原则：不贬低竞品、不虚假承诺；每句话术必须能回溯到数据或案例。** ## 一、价格类异议 ### 1.1 ""智齿报价比你们低 30%"" **背景**（竞品追踪台账·2026-06-01）：智齿华东促销全线降价约 30%，为 2026 年 6"
竞品情报与市场侦察手册.md,竞品情报与市场侦察手册.md,.md,2578,# 竞品情报与市场侦察手册 > 版本：v1.0 | 维护人：产品市场 | 本手册定义竞品情报的采集框架、Battle Card 结构与外部侦察的检索方法。 > 配套能力：助手可使用 `web_search` 工具执行在线侦察，检索结果必须按第五章的可信度分级标注。 --- ## 第一章 竞品情报采集框架 ### 1.1 采集维度（每个竞品维护一张 Battle Card） | 维度 | 关键问题 
竞品成功案例.md,竞品成功案例.md,.md,1444,# 竞品成功案例 > 适用范围：竞品分析、竞品话术应对、竞品动态监控。本库记录**竞品在客户侧的正面案例**，与竞品追踪台账形成对比（注意：这是竞品的赢，用于我方知己知彼）。 > 想批量补充新案例 → 见《DeepSeek扩写提示词集.md》「竞品成功案例」提示词。 --- ## 案例清单 | 案例编号 | 竞品 | 客户 | 区域 | 成交金额 | 对我方影响 | |---|---|---|--
销售分析指标词典与诊断手册.md,销售分析指标词典与诊断手册.md,.md,2653,# 销售分析指标词典与诊断手册 > 版本：v1.0 | 维护人：销售运营 > 本手册统一所有销售分析口径：指标定义、计算公式、数据来源（对应《销售业绩月度表.xlsx》的字段）与漏斗诊断决策树。 > **任何分析报告中出现的指标，计算口径必须与本手册一致。** --- ## 第一章 核心指标定义 ### 1.1 漏斗类指标 | 指标 | 计算公式 | 数据来源 | 健康参考区间 | |------
销售培训手册.md,销售培训手册.md,.md,1622,"# 销售培训手册 > 适用范围：新销售入职培训、老销售复盘、销售方法论统一。本手册记录**销售团队内部培训内容**，与销售方法论手册形成递进（方法论讲""是什么""，本手册讲""怎么练""）。 > 想批量补充培训主题 → 见《DeepSeek扩写提示词集.md》「销售培训手册」提示词。 --- ## 培训清单 | 编号 | 主题 | 对象 | 时长 | 讲师 | |---|---|---|---|---|"
销售成功案例库.md,销售成功案例库.md,.md,2176,# 销售成功案例库 > 适用范围：销售内部培训、赢单复盘、新销售带教。本库记录**我方内部真实赢单案例**，与输赢单分析表（输单原因）形成正反对照。 > 想批量补充新案例 → 见《DeepSeek扩写提示词集.md》「销售成功案例库」提示词，在 DeepSeek 聊天框粘贴即可生成符合本结构的案例。 --- ## 案例清单 | 案例编号 | 客户 | 区域 | 产品线/版本 | 成交金额 | 负责
销售方法论与商机资质判定手册.md,销售方法论与商机资质判定手册.md,.md,3529,# 销售方法论与商机资质判定手册 > 版本：v1.0 | 适用范围：全体销售与售前人员 | 维护人：销售运营 > 本手册定义公司商机的标准生命周期、资质判定框架、评分模型与输单复盘规范，是线索评估的唯一权威依据。 --- ## 第一章 商机生命周期与阶段定义 ### 1.1 标准阶段流转 ``` 线索(Lead) → 市场认可线索(MQL) → 销售认可线索(SQL) → 商机(Opportuni
销售目标与考核.md,销售目标与考核.md,.md,1476,"# 销售目标与考核 > 适用范围：销售目标设定、业绩考核、销售激励。本库记录**销售团队内部目标与考核标准**，与销售业绩月度表形成""目标 vs 结果""对比。 > 想批量补充目标/考核记录 → 见《DeepSeek扩写提示词集.md》「销售目标与考核」提示词。 --- ## 目标清单 | 编号 | 周期 | 对象 | 指标 | 目标值 | 实际值 | 达成率 | |---|---|---|---|"
